"Gene","Log2FC","AveExpr","t","P.Value","adj.P.Val","B","Log2Transformed"
"ACADS",0.399201377166721,-0.107229682209855,0.81561519632073,0.426357681550859,0.849721295236156,-5.79766710780011,FALSE
"ACADSB",-0.383467074184652,0.0486723636442227,-1.04740843787131,0.31003828453896,0.799282216400146,-5.59092885342875,FALSE
"ACADVL",0.0984456145546631,0.211279931875805,0.323089488728173,0.750692854220458,0.951421959484319,-6.07447182116185,FALSE
"ACAN",NA,NA,NA,NA,NA,NA,FALSE
"ACAP1",-0.195170775440627,0.133914067437745,-0.322280857772035,0.754240177680583,0.952301644403164,-5.75335036202629,FALSE
"ACAP2",-0.0118847991577505,-0.2746219391895,-0.0267223672071351,0.979002254785316,0.996751066237021,-6.12671290510656,FALSE
"ACAP3",-0.352832302454205,-0.00998932499218312,-0.615455695615785,0.550268847554392,0.895258490161487,-5.67113178333648,FALSE
"ACAT1",-0.281243991179033,0.0615122871571854,-0.971634060990833,0.345285688724689,0.820763558911136,-5.66355654478606,FALSE
"ACAT2",0.108095090894859,-0.243599133501537,0.327530672929244,0.747392550601859,0.95034330828885,-6.07302068305048,FALSE
"ACBD3",0.529232636584816,0.10218094012199,2.24259279394995,0.0390033662268112,0.495977061880731,-3.92308344111486,FALSE
"ACBD4",-0.263647086182125,0.873426256884861,-0.593751954389393,0.565282925934116,0.899986690796845,-5.70805184670031,FALSE
"ACBD5",0.21134216625704,-0.029238914298987,0.513392810040658,0.6144938696477,0.912307421608658,-5.9949199595632,FALSE
"ACBD6",-0.415911606950674,-0.0886090080091354,-1.64751272899136,0.118394445796034,0.645378064099327,-4.86150978460152,FALSE
"ACBD7",-0.428665320112954,-0.878386477806516,-0.637988579763807,0.538598084842444,0.891427588482464,-5.60501166709602,FALSE
"ACCS",-1.68981907484086,1.35925625449875,-1.35004721543175,0.241299324537338,0.769102357046588,-4.65778487414316,FALSE
"ACD",-0.0185154744858662,-0.206652179869304,-0.0768806814184864,0.93964458806741,0.988826580517456,-6.12408615801984,FALSE
"ACE",0.260356600534367,-0.724263148940834,0.385122401131037,0.705389656827641,0.938574453234254,-6.01198733459088,FALSE
"ACE2",-2.53402980331138,-1.07143429654027,-3.02966233957231,0.0466266015881984,0.516980109832529,-3.55981221812988,FALSE
"ACHE",-0.323496639044671,0.254721727524818,-0.485851152059416,0.649931955968519,0.92597042465234,-5.25317790431033,FALSE
"ACIN1",-0.142411377197128,0.0349895447344114,-0.536561430187878,0.598743462304275,0.909776803099577,-5.98283304354235,FALSE
"ACKR2",-1.30965842405502,-0.474084871764014,-1.24377557055347,0.274803504773373,0.789629057913826,-4.74671494572977,FALSE
"ACKR3",8.01941714859396,-0.942010561977159,4.21739531417759,0.0106435546902341,0.321655714486052,-2.66454978873786,FALSE
"ACLY",0.216764532073986,0.0956197435419496,0.534316825690422,0.600260602980304,0.909824722225718,-5.98402655659854,FALSE
"ACO1",0.250667086301013,-0.204763017243294,0.864829952092964,0.399552425173051,0.843074734456055,-5.75765381921723,FALSE
"ACO2",0.215848408527935,-0.0595114076176387,0.82154851738143,0.423066377188157,0.849291115895745,-5.79295687757616,FALSE
"ACOD1",-0.488162180105558,-0.0299656048093007,-1.62404087687465,0.123346985151218,0.649957457675675,-4.89465626011661,FALSE
"ACOT1",-0.238637550914437,0.218629812801368,-0.379121460834086,0.711521522590942,0.940816117362094,-5.84685020244344,FALSE
"ACOT11",0.828090404975806,0.15464059215934,2.27245515427588,0.0387875900297218,0.495207905707607,-3.8280539696364,FALSE
"ACOT13",-0.457800063352226,0.441106315483879,-1.65330862774408,0.117198063396553,0.643676420713408,-4.85327346616562,FALSE
"ACOT2",-0.140130120334609,0.290801434327653,-0.392449566467138,0.699757871252577,0.938292965835436,-6.04958410115894,FALSE
"ACOT4",-0.220343188428615,0.0836965901073987,-0.22298439599148,0.827158078444945,0.972169542858315,-5.92135755495082,FALSE
"ACOT7",-0.892717059685639,-0.24544901347607,-2.35200222809841,0.0314074114099845,0.46433366688418,-3.73345825318911,FALSE
"ACOT8",0.717211850536104,0.0430244551397923,2.26139332308333,0.0375869448363425,0.49161487373962,-3.89081426188971,FALSE
"ACOT9",-0.695159485787935,0.321401447334124,-2.93865654270957,0.00941145352501786,0.303464799612447,-2.65607901639643,FALSE
"ACOX1",0.598565163999172,0.147112525975198,1.93334814408028,0.0705697192147298,0.57889222793333,-4.4325981414526,FALSE
