"Gene","Log2FC"
"ARL15",-0.0312022163806589
"ARL2",-0.533145199940131
"ARL2BP",-0.990886872861513
"ARL3",-0.129726999507023
"ARL4A",-0.806729445163989
"ARL4C",0.0639255233341256
"ARL5A",-0.400021547577335
"ARL5B",0.279349571889422
"ARL6",-0.155754820611364
"ARL6IP1",0.14950703763299
"ARL6IP4",-0.264213110237494
"ARL6IP5",0.530282853339318
"ARL6IP6",-0.200002168006061
"ARL8A",-0.686486331001296
"ARL8B",0.0883374204385792
"ARMC1",-0.221194850426928
"ARMC10",0.0739032681380011
"ARMC4",NA
"ARMC5",-0.103411045858595
"ARMC6",-0.227914050072865
"ARMC7",NA
"ARMC8",-0.0590202440131637
"ARMC9",0.520344587045009
"ARMCX1",0.774780492459764
"ARMCX2",0.755968668602196
"ARMCX3",0.213627118898137
"ARMCX4",NA
"ARMCX5",-0.712234474598546
"ARMH3",-0.0418544945041484
"ARMT1",0.0583320109708056
"ARNT",0.183522880230699
"ARNT2",NA
"ARNTL",0.38431987944966
"ARNTL2",1.47472234129283
"ARPC1A",0.125426200578589
"ARPC1B",0.102087688015627
"ARPC2",0.185217330191355
"ARPC3",0.107715190065192
"ARPC4",0.164003998092919
"ARPC5",-0.0540821809859892
"ARPC5L",0.22479129596283
"ARPIN",0.318722432352534
"ARPP19",-0.103843793028767
"ARPP21",NA
"ARRB1",1.20295696746262
"ARRB2",-0.017399053251782
"ARRDC1",0.436740972950091
"ARRDC3",-0.659555345176891
"ARSA",-0.166387429567742
"ARSB",-0.916914038687388
"ARSD",0.47977399548115
"ARSE",0.191166202251265
"ARSG",NA
"ARSI",-0.664482944834394
"ARSK",0.754910531064621
"ART3",NA
"ART4",0.639218559202199
"ARTN",-0.212424364517025
"ARV1",-0.345367517525619
"ARVCF",0.766209844861451
"ARX",-0.285952735363346
"AS3MT",-0.0241567678286823
"ASAH1",0.214534560596079
"ASAP1",-0.0785216263772567
"ASAP2",-0.345736578368435
"ASAP3",1.11066745398946
"ASB1",-0.308494384723439
"ASB13",NA
"ASB3",-0.13270694946203
"ASB6",0.0799274774212161
"ASB7",NA
"ASB8",NA
"ASB9",-1.17378491770971
"ASCC1",0.0706568164703404
"ASCC2",0.258378053462013
"ASCC3",0.0734117163701236
"ASCL1",NA
"ASCL2",NA
"ASF1A",0.00594242500959793
"ASF1B",1.15933278454529
"ASGR1",0.64399731325386
"ASGR2",-1.07453494563336
"ASH1L",-0.101533491720396
"ASH2L",-0.227630244287079
"ASIC2",NA
"ASIP",-0.110714334530805
"ASL",0.326544355330072
"ASMTL",-0.650146133602871
"ASNA1",-0.576020780212801
"ASNS",-0.370012266438471
"ASNSD1",-0.259398458332827
"ASPA",NA
"ASPH",0.101345566741132
