"Gene","Log2FC"
"ABCF3",-0.0223522722969705
"ABCG1",-1.09961107566201
"ABCG2",1.84097821117792
"ABCG4",0.381342753960824
"ABCG5",-0.251208130756071
"ABCG8",0.821912221227206
"ABHD1",-0.178085727074365
"ABHD10",0.259194125704742
"ABHD11",-1.13668283288854
"ABHD12",-0.7897202182055
"ABHD13",0.366140494519528
"ABHD14A-ACY1///ACY1",-0.153282270192431
"ABHD14A///ACY1",0.175979918299568
"ABHD14B",0.0882658010789132
"ABHD15",0.109582189745812
"ABHD16A",0.281018164612724
"ABHD16B",0.215989246437606
"ABHD17A",-0.37937523458702
"ABHD17B",-0.109263492452367
"ABHD17C",0.273303299650346
"ABHD18",-0.427794893700846
"ABHD2",-0.311158750300206
"ABHD3",0.880766172225519
"ABHD4",-0.222193189267175
"ABHD5",-0.15961175312342
"ABHD6",0.104719823657715
"ABHD8",0.231301950256859
"ABI1",-0.247256640863837
"ABI2",-0.479583972862192
"ABI3",-0.105001466663294
"ABI3BP",-0.0738615116507971
"ABL1",-0.420796116349242
"ABL2",0.46748807737386
"ABLIM1",0.922378990029608
"ABLIM2",0.0051711524962158
"ABLIM3",1.35653808763986
"ABO",-0.0292708301975926
"ABR",0.19478097725239
"ABRA",-0.0966622201945417
"ABRACL",1.11939308337314
"ABT1",0.196128015097683
"ABTB1",0.984375504744885
"ABTB2",-0.369105252091132
"ACAA1",0.0336869992795119
"ACAA2",-0.00657616222079534
"ACACA",-0.638216308755933
"ACACB",-0.526691419753804
"ACAD10",0.0349166039177324
"ACAD8",-0.98790794416189
"ACAD9",-0.350999448878891
"ACADL",0.787192897552996
"ACADM",0.396552780771232
"ACADS",0.676020517316053
"ACADSB",-1.12966842510499
"ACADVL",1.20182182153563
"ACAN",0.557655234599607
"ACAP1",0.156021230063745
"ACAP2",0.547543295895399
"ACAP3",-0.555918130130346
"ACAT1",0.442783251462021
"ACAT2",0.561150800495383
"ACBD3",0.192709212206714
"ACBD4",-0.192151463026384
"ACBD5",-0.597028097812161
"ACBD6",-0.42500191497078
"ACCS",-0.0700418665937219
"ACD",-0.233017429199156
"ACE",0.726857731278791
"ACE2",0.713527730496216
"ACER1",-0.486920648077608
"ACER2",0.21719084822265
"ACER3",-0.595649168250854
"ACHE",-0.19395594471868
"ACIN1",-0.240248424028687
"ACKR1",0.225893181836947
"ACKR2",0.672640928480225
"ACKR3",-0.410016204811757
"ACKR4",0.272990567809462
"ACLY",-0.449109894159223
"ACMSD",1.07317729447822
"ACO1",-0.144760367059929
"ACO2",-0.150359428356706
"ACOD1",0.310160785864338
"ACOT1///ACOT2",-1.41761328926159
"ACOT11",1.68554652496119
"ACOT12",0.267954949420846
"ACOT13",-0.0641891159456325
"ACOT4",-0.873818679310636
"ACOT6",-1.71612517480735
"ACOT7",0.8277584645797
"ACOT8",-0.055840480526273
"ACOT9",0.826768847614852
"ACOX1",0.177924236665376
"ACOX2",-3.4461699512964
"ACOX3",-0.745873116007527
"ACOXL",1.4452705818666
"ACP1",0.325189975858097
"ACP2",-0.530807917868424
"ACP5",2.06653932905673
"ACP6",0.475519523902937
"ACPP",-0.373017006020326
"ACPT",0.236592866070375
"ACR",-0.350418097302706
"ACRBP",0.874951284918585
"ACRC",-0.300973666773514
"ACRV1",0.43167104647885
"ACSBG1",-0.0670805593917725
"ACSBG2",0.119234904480773
"ACSF2",0.0433813618714272
"ACSF3",-0.762109135595277
"ACSL1",-1.36519898232994
"ACSL3",-0.227467836213787
"ACSL4",1.84221616925483
"ACSL5",2.2074492276041
"ACSL6",-0.109784293525843
"ACSM1",0.429913607611886
"ACSM2A",0.161857653449676
"ACSM2B",0.3646000955718
"ACSM2B///ACSM2A",-0.264606984233615
"ACSM3",-0.872886275093045
"ACSM5",0.120985205426195
"ACSS1",0.0855444807163272
"ACSS2",-0.0387226727986754
"ACSS3",-0.392403815762751
"ACTA1",0.456863175881162
"ACTA2",-0.0146799213801107
"ACTA2-AS1",-0.386957936285819
"ACTB",0.0839017532182922
